,Feature,Category,Target_Likelihood,Sample_Size,Coeff_of_Variation,Low_Contribution
37,insured_occupation,prof-specialty,0.21,85,0.24,False
36,insured_occupation,priv-house-serv,0.17,71,0.24,False
34,insured_occupation,machine-op-inspct,0.24,92,0.24,False
33,insured_occupation,handlers-cleaners,0.2,54,0.24,False
29,insured_occupation,armed-forces,0.25,69,0.24,False
31,insured_occupation,exec-managerial,0.37,76,0.24,False
30,insured_occupation,craft-repair,0.3,74,0.24,False
28,insured_occupation,adm-clerical,0.17,65,0.24,False
40,insured_occupation,tech-support,0.28,78,0.24,False
41,insured_occupation,transport-moving,0.29,72,0.24,False
39,insured_occupation,sales,0.28,76,0.24,False
129,auto_make,Volkswagen,0.28,68,0.22,False
122,auto_make,Honda,0.25,55,0.22,False
128,auto_make,Toyota,0.19,70,0.22,False
116,auto_make,Accura,0.19,68,0.22,False
127,auto_make,Suburu,0.24,80,0.22,False
117,auto_make,Audi,0.3,69,0.22,False
118,auto_make,BMW,0.28,72,0.22,False
120,auto_make,Dodge,0.25,80,0.22,False
121,auto_make,Ford,0.31,72,0.22,False
119,auto_make,Chevrolet,0.28,75,0.22,False
123,auto_make,Jeep,0.16,67,0.22,False
124,auto_make,Mercedes,0.34,65,0.22,False
125,auto_make,Nissan,0.18,78,0.22,False
126,auto_make,Saab,0.22,80,0.22,False
100,number_of_vehicles_involved,2,0.3,30,0.19,False
99,number_of_vehicles_involved,1,0.23,580,0.19,False
105,property_damage,YES,0.26,301,0.19,False
104,property_damage,NO,0.2,338,0.19,False
103,property_damage,?,0.29,360,0.19,False
102,number_of_vehicles_involved,4,0.35,31,0.19,False
101,number_of_vehicles_involved,3,0.26,358,0.19,False
112,witnesses,3,0.25,243,0.16,False
110,witnesses,1,0.25,257,0.16,False
109,witnesses,0,0.2,249,0.16,False
111,witnesses,2,0.3,250,0.16,False
64,insured_relationship,other-relative,0.29,177,0.14,False
66,insured_relationship,unmarried,0.24,141,0.14,False
67,insured_relationship,wife,0.27,154,0.14,False
63,insured_relationship,not-in-family,0.26,174,0.14,False
62,insured_relationship,husband,0.21,170,0.14,False
65,insured_relationship,own-child,0.21,183,0.14,False
95,incident_city,Northbend,0.23,145,0.1,True
92,incident_city,Arlington,0.29,151,0.1,True
98,incident_city,Springfield,0.24,157,0.1,True
97,incident_city,Riverwood,0.22,134,0.1,True
96,incident_city,Northbrook,0.22,122,0.1,True
3,policy_csl,100/300,0.26,348,0.1,False
94,incident_city,Hillsdale,0.25,141,0.1,True
93,incident_city,Columbus,0.26,149,0.1,True
5,policy_csl,500/1000,0.22,300,0.1,False
4,policy_csl,250/500,0.26,351,0.1,False
23,insured_education_level,High School,0.22,160,0.08,True
7,policy_deductable,1000,0.23,351,0.08,True
8,policy_deductable,2000,0.26,307,0.08,True
19,insured_sex,FEMALE,0.23,537,0.08,True
20,insured_sex,MALE,0.26,462,0.08,True
21,insured_education_level,Associate,0.24,144,0.08,True
22,insured_education_level,College,0.26,122,0.08,True
25,insured_education_level,MD,0.26,144,0.08,True
24,insured_education_level,JD,0.26,161,0.08,True
26,insured_education_level,Masters,0.22,143,0.08,True
27,insured_education_level,PhD,0.26,125,0.08,True
106,bodily_injuries,0,0.24,339,0.08,True
107,bodily_injuries,1,0.23,328,0.08,True
108,bodily_injuries,2,0.27,332,0.08,True
6,policy_deductable,500,0.26,341,0.08,True
2,policy_state,OH,0.26,351,0.07,True
0,policy_state,IL,0.23,338,0.07,True
1,policy_state,IN,0.25,310,0.07,True
114,police_report_available,NO,0.25,343,0.06,True
113,police_report_available,?,0.26,342,0.06,True
115,police_report_available,YES,0.23,314,0.06,True
